fact_id,dataset_id,record_id,yearbook_year,statistical_year_start,statistical_year_end,institution,topic,dimension_label,metric,metric_path,numeric_value,text_value,value_kind,unit,source_row,source_column,quality_flag
fact_66438a0825efeef9f6e5b273,dataset_f4cfc5945e70100ba3e6ea62,record_850840448a2d94bc4a90b3ad,2019,2018,2018,其他,other,107镇 2乡 105街道,人口 (万人),人口 (万人),1440,1440,number,万人,19,9,auto_extracted;year_inferred
fact_07fca894a4275006419886d1,dataset_f4cfc5945e70100ba3e6ea62,record_a8548ebca826bbe752f73c47,2019,2018,2018,其他,other,江 苏 省,合计,地 级/合计,13,13,number,,20,3,auto_extracted;year_inferred
fact_b5027a012e1d1fc147de3ac8,dataset_f4cfc5945e70100ba3e6ea62,record_a8548ebca826bbe752f73c47,2019,2018,2018,其他,other,13地级市,合计,县 级/合计,96,96,number,,20,5,auto_extracted;year_inferred
fact_1c3d03f9703eb56ac5b2711e,dataset_f4cfc5945e70100ba3e6ea62,record_a8548ebca826bbe752f73c47,2019,2018,2018,其他,other,55市辖区 21县级市 19 县,合计,乡 级/合计,1258,1258,number,,20,7,auto_extracted;year_inferred
fact_561b187e0d2362961eed62cf,dataset_f4cfc5945e70100ba3e6ea62,record_a8548ebca826bbe752f73c47,2019,2018,2018,其他,other,723镇 43乡 1民族乡 491街道,人口 (万人),人口 (万人),7649,7649,number,万人,20,9,auto_extracted;year_inferred
fact_10189339ef56f4ef6848f031,dataset_f4cfc5945e70100ba3e6ea62,record_db5432312694728d6157b945,2019,2018,2018,其他,other,浙 江 省,合计,地 级/合计,11,11,number,,21,3,auto_extracted;year_inferred
fact_102da1fa30312b7ee92d641a,dataset_f4cfc5945e70100ba3e6ea62,record_db5432312694728d6157b945,2019,2018,2018,其他,other,11地级市,合计,县 级/合计,89,89,number,,21,5,auto_extracted;year_inferred
fact_387e6033d1dab5daed3e22f4,dataset_f4cfc5945e70100ba3e6ea62,record_db5432312694728d6157b945,2019,2018,2018,其他,other,37市辖区 19县级市 32 县 1自治县,合计,乡 级/合计,1375,1375,number,,21,7,auto_extracted;year_inferred
fact_6c25a92617ad4c8e17ce723b,dataset_f4cfc5945e70100ba3e6ea62,record_db5432312694728d6157b945,2019,2018,2018,其他,other,639镇 255乡 14民族乡 467街道,人口 (万人),人口 (万人),4798,4798,number,万人,21,9,auto_extracted;year_inferred
fact_cf02dbd4c64dd3c8693f9892,dataset_f4cfc5945e70100ba3e6ea62,record_f0ff152cc1021404c58807e9,2019,2018,2018,其他,other,安徽省,合计,地 级/合计,16,16,number,,22,3,auto_extracted;year_inferred
fact_e3478c431843a703fec72129,dataset_f4cfc5945e70100ba3e6ea62,record_f0ff152cc1021404c58807e9,2019,2018,2018,其他,other,16地级市,合计,县 级/合计,105,105,number,,22,5,auto_extracted;year_inferred
fact_6f18ca094b43fdf652d77d52,dataset_f4cfc5945e70100ba3e6ea62,record_f0ff152cc1021404c58807e9,2019,2018,2018,其他,other,44市辖区 7县级市 54 县,合计,乡 级/合计,1488,1488,number,,22,7,auto_extracted;year_inferred
fact_fc9d2add6b075124c3c8ebb6,dataset_f4cfc5945e70100ba3e6ea62,record_f0ff152cc1021404c58807e9,2019,2018,2018,其他,other,968镇 262乡 9民族乡 249街道,人口 (万人),人口 (万人),6905,6905,number,万人,22,9,auto_extracted;year_inferred
fact_44c20340a6d32f0ed96bea1a,dataset_f4cfc5945e70100ba3e6ea62,record_348f3832d934d310bbc776c3,2019,2018,2018,其他,other,福 建 省,合计,地 级/合计,9,9,number,,23,3,auto_extracted;year_inferred
fact_97c6e3fdcfb0e5a635db9b89,dataset_f4cfc5945e70100ba3e6ea62,record_348f3832d934d310bbc776c3,2019,2018,2018,其他,other,9地级市,合计,县 级/合计,85,85,number,,23,5,auto_extracted;year_inferred
fact_c9211ed29c9a038601c79b0a,dataset_f4cfc5945e70100ba3e6ea62,record_348f3832d934d310bbc776c3,2019,2018,2018,其他,other,29市辖区 12县级市 44 县,合计,乡 级/合计,1106,1106,number,,23,7,auto_extracted;year_inferred
fact_e3c258ca6bc97338008c38b6,dataset_f4cfc5945e70100ba3e6ea62,record_348f3832d934d310bbc776c3,2019,2018,2018,其他,other,651镇 253乡 19民族乡 183街道,人口 (万人),人口 (万人),3579,3579,number,万人,23,9,auto_extracted;year_inferred
fact_606b6f82ca72ef15e4da85e8,dataset_f4cfc5945e70100ba3e6ea62,record_3800b32dc57b69f9c23dbecd,2019,2018,2018,其他,other,江西 省,合计,地 级/合计,11,11,number,,24,3,auto_extracted;year_inferred
fact_a23c0ab8ad11a069a8cfbbf3,dataset_f4cfc5945e70100ba3e6ea62,record_3800b32dc57b69f9c23dbecd,2019,2018,2018,其他,other,11地级市,合计,县 级/合计,100,100,number,,24,5,auto_extracted;year_inferred
fact_5d51b18dfb5844e964aecf3f,dataset_f4cfc5945e70100ba3e6ea62,record_3800b32dc57b69f9c23dbecd,2019,2018,2018,其他,other,26市辖区 11县级市 63 县,合计,乡 级/合计,1567,1567,number,,24,7,auto_extracted;year_inferred
fact_807f07f2de696f4451ca9339,dataset_f4cfc5945e70100ba3e6ea62,record_3800b32dc57b69f9c23dbecd,2019,2018,2018,其他,other,827镇 570乡 8民族乡 162街道,人口 (万人),人口 (万人),4804,4804,number,万人,24,9,auto_extracted;year_inferred
fact_0a01bba835beca7bca89c959,dataset_f4cfc5945e70100ba3e6ea62,record_6112a11858101a9ba8ee9d21,2019,2018,2018,其他,other,山 东 省,合计,地 级/合计,16,16,number,,25,3,auto_extracted;year_inferred
fact_347c018123c51f1da6c272d1,dataset_f4cfc5945e70100ba3e6ea62,record_6112a11858101a9ba8ee9d21,2019,2018,2018,其他,other,16地级市,合计,县 级/合计,137,137,number,,25,5,auto_extracted;year_inferred
fact_6384da54d6f2320256686016,dataset_f4cfc5945e70100ba3e6ea62,record_6112a11858101a9ba8ee9d21,2019,2018,2018,其他,other,56市辖区 27县级市 54 县,合计,乡 级/合计,1824,1824,number,,25,7,auto_extracted;year_inferred
fact_34815f032c463ea965e3d50b,dataset_f4cfc5945e70100ba3e6ea62,record_6112a11858101a9ba8ee9d21,2019,2018,2018,其他,other,1 092 镇 68乡 664街道,人口 (万人),人口 (万人),9580,9580,number,万人,25,9,auto_extracted;year_inferred
fact_175514e22330fdab7fc6b356,dataset_f4cfc5945e70100ba3e6ea62,record_76221e8797aca817d4216241,2019,2018,2018,其他,other,河南省,合计,地 级/合计,17,17,number,,26,3,auto_extracted;year_inferred
