record_id,dataset_id,source_row,row_label,row_data,search_text
record_7850d4eb89d10178e02a22d6,dataset_b0185afd65c853b06cb505b3,6,合 计,"{""案件类别"":""合 计"",""收 案"":""279574"",""结 案"":""284362"",""结案方式/判决"":""136134"",""结案方式/不予受理"":""17139"",""结案方式/驳回起诉"":""64693"",""结案方式/撤诉"":""55049"",""结案方式/调解"":""1142"",""结案方式/其他"":""10205"",""未结"":""44265""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：合 计；收 案：279574；结 案：284362；结案方式/判决：136134；结案方式/不予受理：17139；结案方式/驳回起诉：64693；结案方式/撤诉：55049；结案方式/调解：1142；结案方式/其他：10205；未结：44265
record_a8bf2df65d4b703f70e37377,dataset_b0185afd65c853b06cb505b3,7,公安,"{""案件类别"":""公安"",""收 案"":""21572"",""结 案"":""21516"",""结案方式/判决"":""10653"",""结案方式/不予受理"":""1268"",""结案方式/驳回起诉"":""3492"",""结案方式/撤诉"":""5597"",""结案方式/调解"":""17"",""结案方式/其他"":""489"",""未结"":""2536""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：公安；收 案：21572；结 案：21516；结案方式/判决：10653；结案方式/不予受理：1268；结案方式/驳回起诉：3492；结案方式/撤诉：5597；结案方式/调解：17；结案方式/其他：489；未结：2536
record_ea00d20c5d839e6881c3b044,dataset_b0185afd65c853b06cb505b3,8,资源,"{""案件类别"":""资源"",""收 案"":""30506"",""结 案"":""31011"",""结案方式/判决"":""12385"",""结案方式/不予受理"":""1839"",""结案方式/驳回起诉"":""9463"",""结案方式/撤诉"":""5827"",""结案方式/调解"":""87"",""结案方式/其他"":""1410"",""未结"":""3837""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：资源；收 案：30506；结 案：31011；结案方式/判决：12385；结案方式/不予受理：1839；结案方式/驳回起诉：9463；结案方式/撤诉：5827；结案方式/调解：87；结案方式/其他：1410；未结：3837
record_7707f0a1470e5b439029612c,dataset_b0185afd65c853b06cb505b3,9,城乡建设,"{""案件类别"":""城乡建设"",""收 案"":""45626"",""结 案"":""46531"",""结案方式/判决"":""19410"",""结案方式/不予受理"":""2739"",""结案方式/驳回起诉"":""13104"",""结案方式/撤诉"":""8230"",""结案方式/调解"":""335"",""结案方式/其他"":""2713"",""未结"":""6856""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：城乡建设；收 案：45626；结 案：46531；结案方式/判决：19410；结案方式/不予受理：2739；结案方式/驳回起诉：13104；结案方式/撤诉：8230；结案方式/调解：335；结案方式/其他：2713；未结：6856
record_cf38fbc046abe84aa18c9dd9,dataset_b0185afd65c853b06cb505b3,10,计划生育,"{""案件类别"":""计划生育"",""收 案"":""338"",""结 案"":""343"",""结案方式/判决"":""148"",""结案方式/不予受理"":""60"",""结案方式/驳回起诉"":""80"",""结案方式/撤诉"":""42"",""结案方式/调解"":""7"",""结案方式/其他"":""6"",""未结"":""29""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：计划生育；收 案：338；结 案：343；结案方式/判决：148；结案方式/不予受理：60；结案方式/驳回起诉：80；结案方式/撤诉：42；结案方式/调解：7；结案方式/其他：6；未结：29
record_15415f87753b5ba3cb3b55f5,dataset_b0185afd65c853b06cb505b3,11,工商,"{""案件类别"":""工商"",""收 案"":""6086"",""结 案"":""6346"",""结案方式/判决"":""2557"",""结案方式/不予受理"":""155"",""结案方式/驳回起诉"":""1262"",""结案方式/撤诉"":""2197"",""结案方式/调解"":""24"",""结案方式/其他"":""151"",""未结"":""1282""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：工商；收 案：6086；结 案：6346；结案方式/判决：2557；结案方式/不予受理：155；结案方式/驳回起诉：1262；结案方式/撤诉：2197；结案方式/调解：24；结案方式/其他：151；未结：1282
record_d367030a2238ad1448891c86,dataset_b0185afd65c853b06cb505b3,12,商标,"{""案件类别"":""商标"",""收 案"":""14457"",""结 案"":""16697"",""结案方式/判决"":""15959"",""结案方式/不予受理"":""69"",""结案方式/驳回起诉"":""122"",""结案方式/撤诉"":""543"",""结案方式/其他"":""4"",""未结"":""5387""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：商标；收 案：14457；结 案：16697；结案方式/判决：15959；结案方式/不予受理：69；结案方式/驳回起诉：122；结案方式/撤诉：543；结案方式/其他：4；未结：5387
record_85c0a4a2a0e6fdaf2f399bbf,dataset_b0185afd65c853b06cb505b3,13,质量监督检验检疫,"{""案件类别"":""质量监督检验检疫"",""收 案"":""632"",""结 案"":""646"",""结案方式/判决"":""263"",""结案方式/不予受理"":""38"",""结案方式/驳回起诉"":""151"",""结案方式/撤诉"":""172"",""结案方式/调解"":""3"",""结案方式/其他"":""19"",""未结"":""75""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：质量监督检验检疫；收 案：632；结 案：646；结案方式/判决：263；结案方式/不予受理：38；结案方式/驳回起诉：151；结案方式/撤诉：172；结案方式/调解：3；结案方式/其他：19；未结：75
record_805503f179ee169ee0cfacdb,dataset_b0185afd65c853b06cb505b3,14,卫生,"{""案件类别"":""卫生"",""收 案"":""918"",""结 案"":""855"",""结案方式/判决"":""299"",""结案方式/不予受理"":""165"",""结案方式/驳回起诉"":""186"",""结案方式/撤诉"":""164"",""结案方式/调解"":""7"",""结案方式/其他"":""34"",""未结"":""161""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：卫生；收 案：918；结 案：855；结案方式/判决：299；结案方式/不予受理：165；结案方式/驳回起诉：186；结案方式/撤诉：164；结案方式/调解：7；结案方式/其他：34；未结：161
record_158af6ba6d0f44b6fce9d062,dataset_b0185afd65c853b06cb505b3,15,食品药品安全,"{""案件类别"":""食品药品安全"",""收 案"":""1424"",""结 案"":""1532"",""结案方式/判决"":""660"",""结案方式/不予受理"":""40"",""结案方式/驳回起诉"":""297"",""结案方式/撤诉"":""489"",""结案方式/调解"":""12"",""结案方式/其他"":""34"",""未结"":""151""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：食品药品安全；收 案：1424；结 案：1532；结案方式/判决：660；结案方式/不予受理：40；结案方式/驳回起诉：297；结案方式/撤诉：489；结案方式/调解：12；结案方式/其他：34；未结：151
